"gou_code";"gou_nom";"reg_code";"reg_nom";"popto_2004";"popco_2004";"immig_2004";"emigr_2004";"menag_2004";"ordin_2004";"porta_2004";"telef_2004";"popto_2014";"popco_2014";"immig_2014";"emigr_2014";"menag_2014";"ordin_2014";"porta_2014";"telef_2014";"popto_2010";"surfa_2010";"idr_2011"
"AN";"Ariana";"NE";"Nord-est";422246;422246;65078;27182;101327;16541;60099;47045;576088;576088;79080;38651;151397;76535;149691;46088;491515;415.156;0.474142857142857
"BA";"Ben Arous";"NE";"Nord-est";505773;505773;79305;42366;117901;15349;71335;55707;631842;631842;73056;46057;163811;83629;162000;51779;571465;656.871;0.478916666666667
"BJ";"Beja";"NO";"Nord-ouest";304501;304501;11283;20884;68584;2219;22075;15384;303032;303032;9439;17203;76827;14707;72252;8480;305650;3740;0.266222222222222
"BZ";"Bizerte";"NE";"Nord-est";524128;524128;24397;27220;119976;5973;46459;35284;568219;568219;20530;26531;142532;40550;137920;23394;544526;3486.38;0.340357142857143
"GB";"Gabes";"SE";"Sud-est";342630;342630;24025;26392;69703;4185;32141;27744;374300;374300;22114;24017;84783;28766;83313;17413;359749;7166.26;0.2706
"GF";"Gafsa";"SO";"Sud-ouest";323709;323709;14275;22058;65926;4489;28742;23015;337331;337331;12929;19109;77964;22513;76023;12269;336588;7807.8;0.170818181818182
"JE";"Jendouba";"NO";"Nord-ouest";416608;416608;16097;26033;92877;2318;30581;16884;401477;401477;10289;22697;103042;17712;96420;9405;422803;3102;0.190111111111111
"KB";"Kebili";"SO";"Sud-ouest";143218;143218;6293;8009;26549;897;13460;11186;156961;156961;2121;1536;34285;10988;33572;7353;150016;22454.5;0.2425
"KF";"Le Kef";"NO";"Nord-ouest";258790;258790;12186;23341;59107;1798;19519;15756;243156;243156;10988;18492;63708;13913;60906;8568;256758;5081;0.190727272727273
"KR";"Kairouan";"CO";"Centre-ouest";546209;546209;15219;38203;107923;1860;31847;18905;570436;570436;15253;34716;129902;18579;123065;9715;558947;6594.4;0.208545454545455
"KS";"Kasserine";"CO";"Centre-ouest";412278;412278;11603;28526;79448;1275;24780;11223;439243;439243;10549;22683;95292;13557;90630;6687;430327;8252.6;0.131769230769231
"ME";"Medenine";"SE";"Sud-est";432503;432503;27012;24316;90000;4222;44511;42150;358126;358126;27317;26207;113277;37735;111169;27110;453188;9167;0.294888888888889
"MH";"Mahdia";"CE";"Centre-est";377853;377853;12662;15114;79197;2629;33879;18981;410812;410812;11519;14000;95466;21074;92294;11757;394137;2856.47;0.293545454545455
"MN";"Manubah";"NE";"Nord-est";335912;335912;29434;19713;70750;4679;30787;24661;379518;379518;28843;20266;95405;32764;93327;16179;365871;1112.3;0.379875
"MS";"Monastir";"CE";"Centre-est";455590;455590;33978;17024;100967;7884;56564;42317;548828;548828;29192;20424;133595;52703;130690;32322;509599;994.31;0.449846153846154
"NB";"Nabeul";"NE";"Nord-est";693890;693890;35502;28447;162691;9917;75667;47792;787918;787918;46538;33036;202554;64698;195858;31995;747419;2829.1;0.396875
"SF";"Sfax";"CE";"Centre-est";855256;855256;77920;66528;198565;15437;94517;95649;955421;955421;63312;58350;242740;83143;236247;68761;923833;6958.71;0.3606875
"SL";"Siliana";"NO";"Nord-ouest";233985;233985;8565;20257;48448;1089;15831;9553;223087;223087;7491;16525;55028;8286;52479;3711;233862;4642;0.211272727272727
"SS";"Sousse";"CE";"Centre-est";544413;544413;58787;36924;124519;11981;70661;52017;674818;674818;55087;41591;171114;70967;166908;44608;605269;2270.07;0.47348619329697
"SZ";"Sidi Bou Zid";"CO";"Centre-ouest";395506;395506;10227;24285;76771;954;28166;9393;429912;429912;12223;20055;93552;13074;89746;4949;410874;7369.2;0.164416666666667
"TA";"Tataouine";"SE";"Sud-est";143524;143524;8473;10928;26575;926;12169;11930;149453;149453;7917;9885;30887;8861;30441;8218;145707.771399;38889;0.174571428571429
"TO";"Tozeur";"SO";"Sud-ouest";97526;97526;4775;5361;20485;1033;8924;8413;107912;107912;4742;4891;25566;7656;24965;3364;102907;5592.9;0.2192
"TU";"Tunis";"NE";"Nord-est";983861;983861;116149;143349;244018;34194;147557;124203;1056247;1056247;115593;137726;287412;146948;283071;95426;998669;242.076;0.527666666666667
"ZA";"Zaghouan";"NE";"Nord-est";160963;160963;7180;7965;33532;906;12723;5751;176945;176945;8002;8449;42835;7992;41086;2688;169437;2866.9;0.304833333333333
